date,vehicle,property,personal,credit card,consumer loan
2011-01-01,2706.397,2147.472,1574.988,238.925,0.116
2011-02-01,1992.288,1955.299,1455.753,166.503,0.034
2011-03-01,2313.784,3072.997,2180.135,277.362,0.04
2011-04-01,1883.896,3635.457,1716.299,255.266,0.237
2011-05-01,2232.802,4138.049,1843.763,209.453,0.232
2011-06-01,3655.671,4522.416,2045.466,214.047,0.188
2011-07-01,3974.625,4378.524,1864.387,274.653,0.063
2011-08-01,4206.091,3865.224,2144.407,455.848,0.1
2011-09-01,3230.654,3574.082,1878.876,561.535,0.019
2011-10-01,3140.823,4190.959,2093.757,573.031,0.538
2011-11-01,2704.186,3794.302,2243.902,559.79,0.031
2011-12-01,3020.603,3666.475,2162.021,437.38,0
2012-01-01,2394.177,3128.406,1295.274,148.078,0.008
2012-02-01,2541.116,3958.166,1568.05,141.209,0.088
2012-03-01,2769.459,4713.86,1980.584,205.63,0.15
2012-04-01,2960.301,4206.937,1947.126,216.337,0.009
2012-05-01,3535.79,4613.543,2805.348,248.455,0.128
2012-06-01,3352.051,3957.842,2128.79,242.432,1.013
2012-07-01,3880.444,4073.623,2156.737,285.412,5.715
2012-08-01,2851.178,3448.209,1670.748,256.439,0.011
2012-09-01,3035.522,4248.188,1684.672,225.962,0.121
2012-10-01,3603.14,4573.252,1919.51,276.533,0
2012-11-01,3470.054,4118.712,1720.446,253.398,0.062
2012-12-01,3120.332,3748.061,1542.47,176.406,0
2013-01-01,3040.908,3973.245,1209.796,166.759,0.02
2013-02-01,2507.71,2890.958,913.031,126.916,0.024
2013-03-01,3022.304,3603.286,1176.104,248.15,0.004
2013-04-01,3255.127,4068.8,1348.03,267.951,0
2013-05-01,2903.538,3495.828,1167.723,237.339,0
2013-06-01,3403.928,3744.797,1434.384,249.408,0
2013-07-01,3775.874,4477.319,1637.111,293.657,0.042
2013-08-01,2116.678,3411.788,877.65,227.882,0.02
2013-09-01,2296.447,3995.756,1128.285,240.202,0
2013-10-01,2318.883,5950.144,1118.363,277.422,0
2013-11-01,1969.52,8253.612,875.422,202.841,0
2013-12-01,2288.27,3872.924,1144.468,232.195,0
2014-01-01,2716.758,3507.444,944.819,223.445,0
2014-02-01,2463.293,3384.527,939.329,138.192,0
2014-03-01,2855.449,4368.768,1129.039,212.571,0
