date,vehicle,property,personal,credit card,consumer loan
2011-01-01,7297.8,12555.3,3275.4,2509.5,1.6
2011-02-01,5253.8,10257,2706.7,1575.2,7.4
2011-03-01,8061.1,17860.4,4394.4,2794.8,7.4
2011-04-01,6804.7,17272.4,3670.6,2259.6,53.3
2011-05-01,6896.5,18117.6,3976.9,2042.9,2
2011-06-01,6850.9,17928.6,4269.1,2379.5,24.2
2011-07-01,6858,17159.8,3985,2704.1,3.2
2011-08-01,7515.8,16158.7,4396.5,2883.2,4.3
2011-09-01,6361,14900.2,3838.5,2946,3
2011-10-01,7208,15426.3,4295.1,2970.7,46
2011-11-01,6655.8,14636.7,4459.1,2730.6,6.4
2011-12-01,7370,14517.5,4242.9,2354.9,4.1
2012-01-01,6168.7,11758.5,2726.8,1231.5,5.5
2012-02-01,7030.4,15051.7,2923.1,1227.8,0.5
2012-03-01,7765.4,18360,3612.8,1929.1,0.7
2012-04-01,7535.2,17856.1,3459.8,1654.5,0.6
2012-05-01,8595.1,18919,4538.5,1970.6,0.7
2012-06-01,8223.5,15977.3,3786.3,1966.3,55.3
2012-07-01,9210,17144.8,3971,2133.5,6.2
2012-08-01,7161.7,15903.2,3402.2,1857.5,1.1
2012-09-01,6820.9,16120.4,3426.3,1854.9,0.7
2012-10-01,7930,18202.4,4071.7,2177.1,2.4
2012-11-01,7802.2,16066.5,3538.6,1945.5,1
2012-12-01,8183.5,15107.4,3453.3,1978.6,3.3
2013-01-01,9128.3,17453.2,3209,1857.3,1.7
2013-02-01,6382.2,13683.7,2479.7,1271.1,0.6
2013-03-01,7941.2,21246.1,3320.8,2079.4,2.8
2013-04-01,7729.9,22112,3569.4,2228.9,12
2013-05-01,7383.1,19262.6,3177.5,2140.6,3.7
2013-06-01,8537.9,21133.9,3740.1,2035.1,3.3
2013-07-01,11022.2,24048.8,4287.9,2348.3,5
2013-08-01,7356.3,20627.7,2976.4,1997.8,7.9
2013-09-01,7423.7,20916.2,3347.3,2053.6,2.3
2013-10-01,7965.4,26431,3477.9,2186.4,3.4
2013-11-01,6729,25965.8,3265,1957,3.1
2013-12-01,7464.6,19032.4,3385.5,1925.3,0.7
2014-01-01,7857,15644.9,2897.6,1720.2,0.6
2014-02-01,6982.2,14642.9,3003.9,1262.1,0.3
2014-03-01,7835.2,19598.1,3557.7,1828.3,2.7
2014-04-01,7785.2,20631,4059.5,2146.4,1.6
2014-05-01,7315.5,21553.4,3658.9,1789.5,1.4
2014-06-01,7637.1,21501.7,3974.9,1902.4,2.1
2014-07-01,7925.5,20091.8,3721.2,1859,0.9
2014-08-01,6753.1,20343.7,3916,2101.2,1.7
2014-09-01,6981.2,20569.6,4442.3,2112,1.3
2014-10-01,6768.7,21152.2,4055.7,2158.7,2.4
2014-11-01,6570.6,19573,4493.3,2011.5,11
